INSTANCE_ID; NODE_ID; INITIALIZATION
; ; bins := 60
; ; items := 60
Bin1; BinProcess; capacity := 100.0
Bin2; BinProcess; capacity := 100.0
Bin3; BinProcess; capacity := 100.0
Bin4; BinProcess; capacity := 100.0
Bin5; BinProcess; capacity := 100.0
Bin6; BinProcess; capacity := 100.0
Bin7; BinProcess; capacity := 100.0
Bin8; BinProcess; capacity := 100.0
Bin9; BinProcess; capacity := 100.0
Bin10; BinProcess; capacity := 100.0
Bin11; BinProcess; capacity := 100.0
Bin12; BinProcess; capacity := 100.0
Bin13; BinProcess; capacity := 100.0
Bin14; BinProcess; capacity := 100.0
Bin15; BinProcess; capacity := 100.0
Bin16; BinProcess; capacity := 100.0
Bin17; BinProcess; capacity := 100.0
Bin18; BinProcess; capacity := 100.0
Bin19; BinProcess; capacity := 100.0
Bin20; BinProcess; capacity := 100.0
Bin21; BinProcess; capacity := 100.0
Bin22; BinProcess; capacity := 100.0
Bin23; BinProcess; capacity := 100.0
Bin24; BinProcess; capacity := 100.0
Bin25; BinProcess; capacity := 100.0
Bin26; BinProcess; capacity := 100.0
Bin27; BinProcess; capacity := 100.0
Bin28; BinProcess; capacity := 100.0
Bin29; BinProcess; capacity := 100.0
Bin30; BinProcess; capacity := 100.0
Bin31; BinProcess; capacity := 100.0
Bin32; BinProcess; capacity := 100.0
Bin33; BinProcess; capacity := 100.0
Bin34; BinProcess; capacity := 100.0
Bin35; BinProcess; capacity := 100.0
Bin36; BinProcess; capacity := 100.0
Bin37; BinProcess; capacity := 100.0
Bin38; BinProcess; capacity := 100.0
Bin39; BinProcess; capacity := 100.0
Bin40; BinProcess; capacity := 100.0
Bin41; BinProcess; capacity := 100.0
Bin42; BinProcess; capacity := 100.0
Bin43; BinProcess; capacity := 100.0
Bin44; BinProcess; capacity := 100.0
Bin45; BinProcess; capacity := 100.0
Bin46; BinProcess; capacity := 100.0
Bin47; BinProcess; capacity := 100.0
Bin48; BinProcess; capacity := 100.0
Bin49; BinProcess; capacity := 100.0
Bin50; BinProcess; capacity := 100.0
Bin51; BinProcess; capacity := 100.0
Bin52; BinProcess; capacity := 100.0
Bin53; BinProcess; capacity := 100.0
Bin54; BinProcess; capacity := 100.0
Bin55; BinProcess; capacity := 100.0
Bin56; BinProcess; capacity := 100.0
Bin57; BinProcess; capacity := 100.0
Bin58; BinProcess; capacity := 100.0
Bin59; BinProcess; capacity := 100.0
Bin60; BinProcess; capacity := 100.0
Item1; ItemProcess; size := 36.6
Item2; ItemProcess; size := 26.8
Item3; ItemProcess; size := 36.6
Item4; ItemProcess; size := 43.0
Item5; ItemProcess; size := 26.3
Item6; ItemProcess; size := 30.7
Item7; ItemProcess; size := 41.4
Item8; ItemProcess; size := 28.7
Item9; ItemProcess; size := 29.9
Item10; ItemProcess; size := 49.5
Item11; ItemProcess; size := 25.1
Item12; ItemProcess; size := 25.4
Item13; ItemProcess; size := 47.4
Item14; ItemProcess; size := 25.2
Item15; ItemProcess; size := 27.4
Item16; ItemProcess; size := 37.0
Item17; ItemProcess; size := 26.9
Item18; ItemProcess; size := 36.1
Item19; ItemProcess; size := 47.3
Item20; ItemProcess; size := 25.2
Item21; ItemProcess; size := 27.5
Item22; ItemProcess; size := 47.2
Item23; ItemProcess; size := 25.9
Item24; ItemProcess; size := 26.9
Item25; ItemProcess; size := 44.4
Item26; ItemProcess; size := 25.8
Item27; ItemProcess; size := 29.8
Item28; ItemProcess; size := 43.9
Item29; ItemProcess; size := 27.3
Item30; ItemProcess; size := 28.8
Item31; ItemProcess; size := 44.5
Item32; ItemProcess; size := 27.2
Item33; ItemProcess; size := 28.3
Item34; ItemProcess; size := 41.9
Item35; ItemProcess; size := 26.1
Item36; ItemProcess; size := 32.0
Item37; ItemProcess; size := 36.3
Item38; ItemProcess; size := 27.1
Item39; ItemProcess; size := 36.6
Item40; ItemProcess; size := 35.5
Item41; ItemProcess; size := 27.3
Item42; ItemProcess; size := 37.2
Item43; ItemProcess; size := 46.6
Item44; ItemProcess; size := 26.2
Item45; ItemProcess; size := 27.2
Item46; ItemProcess; size := 35.7
Item47; ItemProcess; size := 29.2
Item48; ItemProcess; size := 35.1
Item49; ItemProcess; size := 39.5
Item50; ItemProcess; size := 25.5
Item51; ItemProcess; size := 35.0
Item52; ItemProcess; size := 35.0
Item53; ItemProcess; size := 30.3
Item54; ItemProcess; size := 34.7
Item55; ItemProcess; size := 45.0
Item56; ItemProcess; size := 25.2
Item57; ItemProcess; size := 29.8
Item58; ItemProcess; size := 41.0
Item59; ItemProcess; size := 27.5
Item60; ItemProcess; size := 31.5
