INSTANCE_ID; NODE_ID; INITIALIZATION
Knapsack1; KnapsackProcess; items := 100
Knapsack1; KnapsackProcess; capacity := 995.0
Item1; ItemProcess; value := 94.0
Item1; ItemProcess; weight := 485.0
Item2; ItemProcess; value := 506.0
Item2; ItemProcess; weight := 326.0
Item3; ItemProcess; value := 416.0
Item3; ItemProcess; weight := 248.0
Item4; ItemProcess; value := 992.0
Item4; ItemProcess; weight := 421.0
Item5; ItemProcess; value := 649.0
Item5; ItemProcess; weight := 322.0
Item6; ItemProcess; value := 237.0
Item6; ItemProcess; weight := 795.0
Item7; ItemProcess; value := 457.0
Item7; ItemProcess; weight := 43.0
Item8; ItemProcess; value := 815.0
Item8; ItemProcess; weight := 845.0
Item9; ItemProcess; value := 446.0
Item9; ItemProcess; weight := 955.0
Item10; ItemProcess; value := 422.0
Item10; ItemProcess; weight := 252.0
Item11; ItemProcess; value := 791.0
Item11; ItemProcess; weight := 9.0
Item12; ItemProcess; value := 359.0
Item12; ItemProcess; weight := 901.0
Item13; ItemProcess; value := 667.0
Item13; ItemProcess; weight := 122.0
Item14; ItemProcess; value := 598.0
Item14; ItemProcess; weight := 94.0
Item15; ItemProcess; value := 7.0
Item15; ItemProcess; weight := 738.0
Item16; ItemProcess; value := 544.0
Item16; ItemProcess; weight := 574.0
Item17; ItemProcess; value := 334.0
Item17; ItemProcess; weight := 715.0
Item18; ItemProcess; value := 766.0
Item18; ItemProcess; weight := 882.0
Item19; ItemProcess; value := 994.0
Item19; ItemProcess; weight := 367.0
Item20; ItemProcess; value := 893.0
Item20; ItemProcess; weight := 984.0
Item21; ItemProcess; value := 633.0
Item21; ItemProcess; weight := 299.0
Item22; ItemProcess; value := 131.0
Item22; ItemProcess; weight := 433.0
Item23; ItemProcess; value := 428.0
Item23; ItemProcess; weight := 682.0
Item24; ItemProcess; value := 700.0
Item24; ItemProcess; weight := 72.0
Item25; ItemProcess; value := 617.0
Item25; ItemProcess; weight := 874.0
Item26; ItemProcess; value := 874.0
Item26; ItemProcess; weight := 138.0
Item27; ItemProcess; value := 720.0
Item27; ItemProcess; weight := 856.0
Item28; ItemProcess; value := 419.0
Item28; ItemProcess; weight := 145.0
Item29; ItemProcess; value := 794.0
Item29; ItemProcess; weight := 995.0
Item30; ItemProcess; value := 196.0
Item30; ItemProcess; weight := 529.0
Item31; ItemProcess; value := 997.0
Item31; ItemProcess; weight := 199.0
Item32; ItemProcess; value := 116.0
Item32; ItemProcess; weight := 277.0
Item33; ItemProcess; value := 908.0
Item33; ItemProcess; weight := 97.0
Item34; ItemProcess; value := 539.0
Item34; ItemProcess; weight := 719.0
Item35; ItemProcess; value := 707.0
Item35; ItemProcess; weight := 242.0
Item36; ItemProcess; value := 569.0
Item36; ItemProcess; weight := 107.0
Item37; ItemProcess; value := 537.0
Item37; ItemProcess; weight := 122.0
Item38; ItemProcess; value := 931.0
Item38; ItemProcess; weight := 70.0
Item39; ItemProcess; value := 726.0
Item39; ItemProcess; weight := 98.0
Item40; ItemProcess; value := 487.0
Item40; ItemProcess; weight := 600.0
Item41; ItemProcess; value := 772.0
Item41; ItemProcess; weight := 645.0
Item42; ItemProcess; value := 513.0
Item42; ItemProcess; weight := 267.0
Item43; ItemProcess; value := 81.0
Item43; ItemProcess; weight := 972.0
Item44; ItemProcess; value := 943.0
Item44; ItemProcess; weight := 895.0
Item45; ItemProcess; value := 58.0
Item45; ItemProcess; weight := 213.0
Item46; ItemProcess; value := 303.0
Item46; ItemProcess; weight := 748.0
Item47; ItemProcess; value := 764.0
Item47; ItemProcess; weight := 487.0
Item48; ItemProcess; value := 536.0
Item48; ItemProcess; weight := 923.0
Item49; ItemProcess; value := 724.0
Item49; ItemProcess; weight := 29.0
